District,Latitude,Longitude,lat,lon,
porbandar,21.64481,69.62102,21.6809916,69.81140139,
rajkot,22.29161,70.79322,22.11505815,70.71649811,
sabar kantha,23.80731509,73.03534808,23.85392857,72.99226153,
surat,21.18584,72.83667,21.26609098,72.99312387,
surendranagar,22.72706,71.64856,22.77925403,71.66732976,
tapi,21.17638519,73.6193864,21.28174662,73.60652093,
the dangs,20.57993,73.74679,20.82826119,73.70053576,
vadodara,22.30948,73.1799,22.21247905,73.18147019,
valsad,20.60651,72.93136,20.49551468,73.13478746,
ambala,30.36099,76.79782,30.29117098,76.96395755,
bhiwani,28.79304,76.13968,28.76147044,75.80758965,
charkhi dadri,28.60328,76.24963,28.56715431,76.13233342,
faridabad,28.39262,77.31268,28.41071394,77.33278061,
fatehabad,27.02722,78.30065,29.65116215,75.62080365,
gurugram,28.47717,77.06846,28.36632828,76.87174756,
hisar,29.15394,75.72294,29.30684484,75.80758968,
jhajjar,28.60767,76.65252,28.62417787,76.6874649,
jind,29.31577,76.31502,29.36665413,76.36372333,
kaithal,29.79742,76.37763,29.73149466,76.36269338,
karnal,29.69197,76.98448,29.78822429,76.91854788,
kurukshetra,29.97323,76.83214,30.00088846,76.77912542,
mahendragarh,23.21327,82.19355,28.20996541,76.22404473,
mewat,27.98776531,77.05101549,28.01703208,77.05747114,
palwal,28.14264,77.33442,28.04274128,77.33210962,
panchkula,30.70459,76.86391,30.66232429,77.05575465,
panipat,29.38747,76.96825,29.38161495,76.96430083,
rewari,28.199,76.6183,28.28764366,76.54744469,
rohtak,28.89764,76.57446,28.87835114,76.50153904,
sirsa,29.53957,75.03103,29.56641433,74.87409934,
sonipat,28.9953,77.02214,29.05798237,76.91820452,
yamunanagar,30.12796,77.28371,30.1877017,77.28648277,
bilaspur himachal,31.33912,76.76377,31.34682438,76.68746503,
chamba,32.55535,76.12488,32.76251863,76.17871222,
hamirpur himachal,31.66771971,76.52647792,31.68442747,76.50291247,
kangra,32.10136,76.27312,32.0726444,76.36372347,
kinnaur,31.59522128,78.41359664,31.65706834,78.47484612,
kullu,31.904116,77.40087414,31.829289,77.47122212,
lahul and spiti,32.48008549,77.61677718,32.62323211,77.37871722,
mandi himachal,31.70922,76.93197,31.59531544,76.91717467,
shimla,31.10326,77.15844,31.1289856,77.65360742,
sirmaur,30.66672821,77.43110009,30.56784507,77.47087874,
solan,30.91888,77.09764,31.09562457,76.87243434,
una himachal,31.58008186,76.21121914,31.5653896,76.22541819,
anantnag,33.72988,75.15084,33.71036992,75.24721451,
bandipore,34.41785,74.64124,34.51142333,74.68653327,
baramulla,34.19287,74.3692,34.15263734,74.26453465,
budgam,34.04126,74.72625,33.9396697,74.64003826,
doda,33.14455,75.54472,33.1018794,75.66666437,
ganderbal,34.21652,74.77042,34.24890906,75.01575077,
jammu,32.70267,74.87843,32.93988002,74.68653319,
kathua,32.38589,75.51756,32.52174584,75.62149043,
kishtwar,33.31624,75.76513,33.52476979,75.89986244,
kulgam,33.64507,75.01765,33.60191082,74.73404527,
kupwara,34.52686,74.25742,34.43727567,74.12399109,
mirpur,23.93689,88.99858,33.59630597,74.04728952,
muzaffarabad,34.37002,73.47082,34.33772263,73.70104721,
poonch,33.76971,74.09728,33.76738039,74.31147293,
pulwama,33.87351,74.89937,33.98840902,75.01472079,
rajouri,33.24393836,74.39195973,33.24156715,74.3114729,
ramban,33.24151,75.23696,33.30973229,75.20088071,
reasi,33.08202,74.83298,33.26439271,74.8283434,
samba,32.60990489,75.05753435,32.59434243,75.10817152,
shopian,33.71937,74.83127,33.72138669,74.80322891,
srinagar,34.08442,74.7991,34.11301562,74.8042589,
udhampur,32.91978,75.12841,32.88144586,75.29319072,
bokaro,23.66934,86.15161,23.66790703,85.97131659,
chatra,24.20418,84.8719,24.15793643,84.85678781,
deoghar,24.48909,86.6995,24.39818778,86.66041627,
dhanbad,23.79596,86.43061,23.82486722,86.49930587,
dumka,24.26838,87.24887,24.4118318,87.30229447,
east singhbhum,22.59238,86.48341,22.4923645,86.50067912,
garhwa,24.15887,83.80083,24.113761,83.67773073,
giridih,24.18711,86.30464,24.29101059,86.09475578,
godda,24.83211,87.2073,24.79190223,87.30298113,
gumla,23.04153,84.54301,23.19892362,84.52324344,
hazaribagh,23.99885,85.36735,23.98466863,85.35427296,
jamtara,23.96056,86.80218,23.9755935,86.94271803,
khunti,22.98497625,85.25348492,23.0854232,85.27741527,
koderma,24.48386,85.42703,24.51443162,85.64416827,
latehar,23.7444,84.50814,23.76027068,84.35454282,
lohardaga,23.46888714,84.65334205,23.44128871,84.64722034,
pakur,24.63681,87.84719,24.55959073,87.65913759,
palamu,24.20310622,84.16925521,24.13422826,84.18570611,
ramgarh,25.29061,83.65032,23.65832106,85.56017462,
ranchi,23.3507,85.31377,23.41571846,85.35461626,
sahebganj,26.29745,84.92698,25.03381889,87.65845097,
saraikela kharsawan,22.84530746,85.95109784,22.86243208,86.01318183,
simdega,22.61049,84.50165,22.63293149,84.69008738,
west singhbhum,22.5,85.5,22.37014482,85.43720862,
bagalkote,16.18673,75.69614,16.13817742,75.62012075,
ballari,15.14468,76.92893,15.09781621,76.54865012,
belagavi,15.86704,74.51162,16.17038524,74.78086111,
bengaluru rural,13.22323382,77.57396487,13.32588423,77.47002411,
bengaluru urban,12.97129,77.6277,12.97286524,77.65361107,
bidar,17.90802,77.51524,17.91332971,77.52007816,
chamarajanagara,11.918,76.951,12.05616648,77.28665813,
chikkaballapura,13.58063818,77.83711763,13.43816655,77.73118965,
chikkamagaluru,13.32335,75.77362,13.40784314,75.62080738,
chitradurga,14.22049,76.39956,14.18513276,76.54847846,
dakshina kannada,12.86767344,75.25150721,12.84746023,75.24756135,
davanagere,14.4593,75.91528,14.33442824,75.99259212,
dharwad,15.45111,75.00517,15.36832588,75.06145661,
gadag,15.43312,75.63545,15.40577321,75.61977742,
hassan,13.00344,76.10322,13.07826432,76.17837248,
haveri,14.79276,75.39635,14.66384618,75.43326965,
kalaburagi,17.33282,76.84033,17.40767649,76.6412698,
kodagu,12.32488393,75.80527847,12.34084503,75.80673511,
kolar,13.13768,78.12999,13.18003685,78.20152229,
koppal,15.32956,76.15266,15.62437105,76.17820083,
mandya,12.52739,76.89468,12.5675755,76.73330735,
mysuru,12.30902,76.65306,12.19066798,76.36338375,
raichur,16.20546,77.35567,15.93027117,76.64075481,
ramanagara,12.71533,77.27396,12.60326802,77.47071076,
shivamogga,13.9448,75.56668,14.01157421,75.15470834,
tumakuru,13.34054,77.10157,13.3739655,76.64195642,
udupi,13.33694,74.74469,13.54278636,74.87410308,
uttara kannada,14.78855323,74.62379899,14.79702224,74.68722341,
vijayapura,16.8282,75.71352,16.6180485,75.89952267,
yadgir,16.76094,77.13667,16.58070815,76.73433734,
alappuzha,9.5013,76.33233,9.491863784,76.49321252,
ernakulam,10.08405614,76.54629706,10.0744727,76.54916509,
idukki,9.838750875,77.05881477,9.921938494,77.1023171,
kannur,11.87482,75.37628,11.97379896,75.62115069,
kasaragod,12.51143,74.98361,12.43597551,75.10714513,
kollam,8.88686,76.59228,8.999936202,76.87192297,
kottayam,9.59476,76.53296,9.600302813,76.68678202,
kozhikode,11.2588,75.78094,11.49761548,75.85287898,
malappuram,11.0429,76.08045,11.11405353,76.17871579,
palakkad,10.77581,76.65813,10.95413593,76.5477918,
pathanamthitta,9.26457,76.78669,9.263123974,76.96447622,
thiruvananthapuram,8.50525,76.95144,8.534090959,77.10266042,
thrissur,10.51082,76.21121,10.41763315,76.36372706,
wayanad,11.71092904,76.08736764,11.68821231,76.13199387,
kargil,34.55159,76.13059,34.38046429,76.26146947,
leh ladakh,34.14473,77.55612,34.20840784,77.57241833,
lakshadweep,11.14411888,72.048025,9.98846788,72.93212844,
agar malwa,23.82502357,76.07296927,23.79040082,75.9927598,
alirajpur,22.30594,74.35548,22.3123026,74.35546602,
anuppur,23.11566,81.69611,23.07858619,81.7776667,
ashoknagar,24.5761,77.73067,24.69681856,77.83740948,
balaghat,21.81664,80.18473,21.86304666,80.36620696,
barwani,22.03193,74.90409,21.83826305,75.06077001,
betul,21.90316,77.90004,21.96971732,77.74503507,
bhind,26.56707,78.78545,26.44989805,78.74864547,
bhopal,23.26466,77.40521,23.49376242,77.42394846,
burhanpur,21.30868,76.23026,21.39229788,76.36355547,
chhatarpur,24.90855,79.59632,24.92267529,79.59100044,
chhindwara,22.05697,78.93958,22.05126424,78.83688564,
damoh,23.83571,79.44359,23.88278521,79.46900981,
datia,25.66513,78.46092,25.68977436,78.56367661,
dewas,22.96585,76.05526,22.70082957,76.3641408,
dhar,22.59529,75.30061,22.5019351,75.15487597,
dindori,22.947,81.07506,22.84747763,81.07557561,
east nimar,21.89937662,76.55840047,21.88311477,76.64075485,
guna,24.64643,77.3109,24.65141322,77.28579588,
gwalior,26.22011,78.1762,26.03286139,78.20066009,
harda,22.34385,77.08972,22.20472506,77.10385803,
hoshangabad,22.74747,77.72736,22.65194525,78.01918993,
indore,22.71622,75.86512,22.65432863,75.80724608,
jabalpur,23.17416,79.93135,23.354413,80.00842586,
jhabua,22.76992,74.59749,22.92094559,74.68653274,
katni,23.75129204,80.40825144,23.75207259,80.36482963,
khargone,21.82574,75.6213,21.90557245,75.80690683,
mandla,22.60958,80.37007,22.63122226,80.54315291,
mandsaur,24.07259,75.066,24.09138578,75.24790071,
morena,26.49052,77.98572,26.37624372,77.83740954,
narsinghpur,22.94579,79.19627,22.91763496,79.10968466,
neemuch,24.45854,74.86246,24.46342776,75.24858737,
niwari,25.34976,78.8045,25.28050837,78.70157581,
panna,24.70793,80.17652,24.49605289,80.1871578,
raisen,23.33011,77.78448,23.22719469,78.20203327,
rajgarh,24.00574,76.72716,23.85617414,76.73330338,
ratlam,23.33033,75.04032,23.56634822,75.10714114,
rewa,24.52611,81.30245,24.76875115,81.60384416,
sagar,23.84315,78.74272,23.93219282,78.838259,
satna,24.5761,80.80066,24.53858013,80.89898815,
sehore,23.20106,77.07711,22.95327862,77.10248476,
seoni,22.08503,79.55037,22.47677091,79.56068187,
shahdol,23.29266,81.35864,23.62691876,81.42754967,
shajapur,23.41999,76.28085,23.42423183,76.59436344,
sheopur,25.67335,76.69655,25.73615028,76.91820437,
shivpuri,25.42378,77.66223,25.34350917,77.74485943,
sidhi,24.40736,81.88261,24.21303646,81.77904003,
singrauli,24.19468,82.6656,24.24876542,82.47527031,
tikamgarh,24.74429,78.83302,24.96920678,78.92881884,
ujjain,23.18088,75.78813,23.28122185,75.52766448,
umaria,23.53065,80.82789,23.60176402,81.07545083,
vidisha,23.52142,77.80641,23.94772564,77.83637948,
ahmednagar,19.09211,74.73842,19.45808748,74.40514483,
akola,20.70535,77.00218,20.70244222,77.10231716,
amravati,20.93333,77.75,21.11877526,77.65378279,
aurangabad,19.87016,75.346,19.89333773,75.15436506,
beed,18.98957,75.75589,18.92535921,75.80707847,
bhandara,21.17119,79.65631,21.07604292,79.82984459,
buldhana,20.58333,76.41667,20.45914861,76.36372712,
chandrapur,19.9665,79.29658,20.21241795,79.5599993,
dhule,20.90286,74.7725,21.06037367,74.68722345,
gadchiroli,20.18259,80.00617,19.49913398,80.27690298,
gondia,21.45879,80.19625,21.28624867,80.18716181,
hingoli,19.72169,77.15177,19.58088763,77.10231715,
jalgaon,21.00292,75.56602,21.04245772,75.52766853,
jalna,19.84102,75.88636,19.68393674,75.9932788,
kolhapur,16.70448,74.24142,16.3960884,74.12433792,
latur,18.39721,76.56784,18.43519006,76.73399403,
mumbai,18.94018,72.83484,19.00376776,72.83955865,
mumbai suburban,19.14312174,72.88110732,19.15689949,72.87534887,
nagpur,21.15707,79.08209,21.31973335,79.19965021,
nanded,19.15571,77.31096,18.94621799,77.37837751,
nandurbar,21.36671,74.24051,21.74956023,74.12399463,
nashik,19.99727,73.79096,20.16492346,74.02932417,
osmanabad,18.1853,76.04073,18.21038358,76.17888749,
palghar,19.70023,72.77104,19.78913366,72.99243721,
parbhani,19.26078,76.77693,19.26683571,76.64058317,
pune,18.50419,73.85286,18.68617896,74.02966749,
raigad,18.51217,73.2234056,18.51884015,73.18284755,
ratnagiri,16.99214,73.2919,17.25037376,73.3708682,
sangli,16.85438,74.56417,17.17311966,74.68705176,
satara,17.68589,73.99333,17.58176786,74.02915249,
sindhudurg,16.13307387,73.73980786,16.16947359,73.55906807,
solapur,17.65809,75.90678,17.69861619,75.52784016,
thane,19.19704,72.96355,19.27252986,73.3713832,
wardha,20.73542,78.59488,20.80795625,78.56625549,
washim,20.10821,77.14092,20.14190908,77.10248882,
yavatmal,20.39324,78.13201,20.12000978,78.11065486,
bishnupur,23.06428,87.31048,24.5319948,93.78414492,
chandel,24.33938,94.00621,24.14416872,94.02901593,
churachandpur,24.34813,93.70104,24.20084757,93.66266183,
imphal east,24.70859576,94.08027,24.80862433,94.02832931,
imphal west,24.7711428,93.86550462,24.78712494,93.88589013,
jiribam,24.80444,93.11855,24.66342084,93.15719548,
kakching,24.49917,93.97953,24.45595663,93.92664482,
kamjong,24.8174865,94.43295323,24.75295923,94.31575996,
kangpokpi,25.00218546,93.94320165,25.09690507,93.86586827,
noney,24.67800512,93.46002375,24.7270171,93.45992723,
pherzawl,24.31935383,93.21384466,24.40163382,93.17830384,
senapati,25.26867,94.02224,25.32589429,94.15137106,
tamenglong,24.96538,93.49509,24.96408398,93.50171333,
tengnoupal,24.38573,94.14758,24.42357159,94.19267794,
thoubal,24.64331,93.99715,24.61804804,94.0283293,
ukhrul,25.09836,94.36107,25.31537829,94.47962733,
east garo hills,25.64193857,90.63532924,25.57272069,90.52577697,
east jaintia hills,25.27287118,92.46524111,25.31595073,92.49998646,
east khasi hills,25.38602412,91.81170472,25.37342745,91.75387636,
north garo hills,25.87084688,90.69906329,25.83226226,90.658671,
ribhoi,25.87002496,91.88224842,25.93705408,92.0668577,
south garo hills,25.30925714,90.57743606,25.33596984,90.56291701,
south west garo hills,25.44557148,89.9501581,25.43152084,89.96267456,
south west khasi hills,25.31754834,91.26426864,25.33145363,91.25093818,
west garo hills,25.62913335,90.19132358,25.76320008,90.22446087,
west jaintia hills,25.48379519,92.27506679,25.55439386,92.38135677,
west khasi hills,25.57420408,91.11359169,25.56708511,91.28944159,
aizawl,23.72894,92.71791,23.88391855,92.89762,
champhai,23.47809,93.3261,23.64193905,93.17761717,
kolasib,24.22646,92.67939,24.17234062,92.73816181,
lawngtlai,22.53189,92.89906,22.31745684,92.69872466,
lunglei,22.87654,92.75184,22.88845523,92.69941133,
mamit,23.7517257,92.45423831,23.84328432,92.53856763,
saiha,22.49006,92.98032,22.26495795,92.97617705,
serchhip,23.32583,92.85445,23.31341145,92.8979633,
dimapur,25.91174,93.7217,25.7848301,93.8048211,
kiphire,25.83437919,94.83506645,25.82399103,94.85274492,
kohima,25.66288,94.09311,25.75199033,94.11009625,
longleng,26.49461,94.82398,26.48679085,94.77052659,
mokokchung,26.32325,94.51371,26.49606173,94.52153153,
mon nagaland,26.72189,95.03025,26.80871521,94.97699204,
peren,25.49866484,93.62136537,25.51803127,93.73871714,
phek,25.64910075,94.54502422,25.74393567,94.439128,
tuensang,26.23347,94.81149,26.24987702,94.81059019,
wokha,26.09274,94.25621,26.22233688,94.19199137,
zunheboto,26.01599,94.52757,26.07220171,94.47928404,
anugul,20.83925,85.10047,20.92385749,84.8564485,
balangir,20.7064,83.48973,20.67499254,83.16472706,
baleshwar,21.50096,86.91808,21.34958259,86.66076361,
bargarh,21.33767,83.62123,21.25806477,83.50667561,
bhadrak,21.06327,86.49953,20.96820658,86.66127859,
boudh,20.83858,84.32236,20.66379158,84.1431689,
cuttack,20.46653,85.89615,20.4223403,85.64348562,
deogarh,25.5292,73.90812,21.49447387,84.85679183,
dhenkanal,20.65297,85.59907,20.84548198,85.43738436,
gajapati,19.17476522,84.16118689,19.19413567,84.18588177,
